,State,CountyName,Housing Type,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1961,GA,Cobb County,Data_5_bed,234506.33333333334,211865.25,215474.0,239746.33333333334,255225.83333333334,266339.3333333333,287046.1666666667,303297.1666666667,322691.5833333333,334860.3333333333,348665.5833333333
1962,NJ,Cumberland County,Data_5_bed,195632.25,189977.58333333334,182691.75,167046.33333333334,160842.66666666666,159988.33333333334,157613.5,160649.91666666666,161413.0,164726.75,170521.58333333334
1963,CA,Los Angeles County,Data_5_bed,176703.5,164440.41666666666,169973.66666666666,210261.91666666666,247630.41666666666,259498.58333333334,285016.5833333333,310084.4166666667,340690.8333333333,355438.3333333333,385460.5
1964,TX,Harris County,Data_5_bed,150482.83333333334,139835.0,135937.91666666666,148983.41666666666,167477.16666666666,180960.41666666666,187768.0,194472.0,205029.33333333334,212260.66666666666,220295.58333333334
1965,FL,Okaloosa County,Data_5_bed,263396.3333333333,253555.16666666666,251835.16666666666,264507.5,274554.5833333333,277954.8333333333,286788.6666666667,295614.5,308887.75,327249.75,356213.3333333333
1966,NM,Santa Fe County,Data_5_bed,734506.6666666666,683244.1666666666,739832.5,729401.3333333334,725901.6666666666,736224.3333333334,753019.75,784632.3333333334,793826.9166666666,861898.0833333334,910689.75
1967,OR,Clackamas County,Data_5_bed,301192.5833333333,274518.1666666667,264949.8333333333,297134.0,332064.1666666667,359382.25,403527.5833333333,444372.0833333333,466020.8333333333,477379.75,500239.8333333333
1968,FL,Volusia County,Data_5_bed,427731.1666666667,415069.75,418601.5833333333,451592.5,477574.5,495226.8333333333,518131.0,547807.0,586513.5833333334,614307.5833333334,632814.0833333334
1969,AZ,Maricopa County,Data_5_bed,149606.83333333334,129694.83333333333,147649.91666666666,185016.83333333334,202600.83333333334,213919.66666666666,231841.66666666666,250719.83333333334,267374.0833333333,280707.5833333333,311779.0833333333
1970,NY,Monroe County,Data_5_bed,193669.0,187382.33333333334,187708.58333333334,189605.66666666666,192247.83333333334,194158.66666666666,208921.66666666666,210614.41666666666,210937.0,221730.66666666666,232575.33333333334
1971,NJ,Camden County,Data_5_bed,244018.25,222257.83333333334,210163.25,213412.83333333334,216979.08333333334,223467.33333333334,220500.33333333334,222487.16666666666,229604.5,233282.25,251290.41666666666
1972,LA,Jefferson Parish,Data_5_bed,298620.5833333333,296982.1666666667,288678.0,296505.9166666667,302176.5,305635.5833333333,306527.0833333333,313334.5,319104.75,330883.3333333333,343675.1666666667
1973,AZ,Maricopa County,Data_5_bed,176602.16666666666,153408.41666666666,168202.33333333334,205965.16666666666,227643.75,240821.91666666666,259434.25,270737.0833333333,290971.0833333333,305494.0833333333,336016.1666666667
1974,CA,San Bernardino County,Data_5_bed,170640.91666666666,163594.75,165356.16666666666,200855.58333333334,241018.08333333334,252967.58333333334,268690.1666666667,289730.5833333333,308007.25,314789.1666666667,332614.1666666667
1975,MO,Saint Louis County,Data_5_bed,115880.08333333333,100636.83333333333,96685.83333333333,94436.41666666667,95237.41666666667,95576.41666666667,100593.41666666667,109330.41666666667,119003.5,127133.08333333333,131683.83333333334
1976,SC,Charleston County,Data_5_bed,528066.5833333334,509763.75,520280.1666666667,556690.1666666666,598452.25,629160.4166666666,650891.1666666666,665990.6666666666,666080.0833333334,660451.6666666666,680792.0833333334
1978,TX,Dallas County,Data_5_bed,231100.58333333334,226134.5,225445.25,239483.66666666666,256214.91666666666,274090.4166666667,300241.5833333333,328380.0833333333,350400.0,361051.5833333333,370674.8333333333
