,State,CountyName,Housing Type,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
17,IL,Cook County,Data_condo,297044.4166666667,270759.5833333333,258037.41666666666,288382.5833333333,314508.6666666667,324180.9166666667,344676.1666666667,359100.1666666667,371505.0833333333,371117.0,379229.25
18,NY,Kings County,Data_condo,584824.5,572289.9166666666,587841.0,647132.3333333334,751379.3333333334,836819.6666666666,876830.6666666666,844022.0833333334,863609.8333333334,888134.9166666666,837588.25
19,NY,Kings County,Data_condo,243131.16666666666,244004.75,241238.25,247726.83333333334,263846.6666666667,281207.6666666667,293208.5,308660.9166666667,342264.9166666667,352022.3333333333,354117.4166666667
20,NY,Queens County,Data_condo,234885.41666666666,231366.83333333334,238729.66666666666,248318.25,265459.8333333333,299069.25,308476.3333333333,331001.25,369338.4166666667,386017.4166666667,387637.0833333333
21,CA,Los Angeles County,Data_condo,462727.8333333333,422387.5,384098.4166666667,428110.8333333333,477707.6666666667,516057.9166666667,562362.9166666666,610828.4166666666,664778.5833333334,676141.75,705994.1666666666
22,TX,Comal County,Data_condo,134464.16666666666,135389.66666666666,139311.91666666666,144661.0,151439.33333333334,175642.16666666666,191329.0,184746.5,191586.08333333334,205946.25,231159.25
23,TN,Davidson County,Data_condo,111122.58333333333,104625.58333333333,103640.83333333333,106490.75,112751.91666666667,121711.33333333333,137194.08333333334,153717.58333333334,169494.91666666666,175979.41666666666,185615.16666666666
24,NY,New York County,Data_condo,693720.25,713387.3333333334,737819.75,780354.75,862087.4166666666,930821.75,931635.1666666666,923496.0,925372.0833333334,990124.75,982593.6666666666
25,TX,Galveston County,Data_condo,111825.41666666667,109202.83333333333,118801.58333333333,121434.41666666667,134085.16666666666,147582.41666666666,146820.83333333334,136429.16666666666,139814.66666666666,154174.0,156292.75
26,IL,Cook County,Data_condo,282395.5,252703.66666666666,231324.5,251437.83333333334,278235.1666666667,286968.1666666667,298727.25,311779.4166666667,325181.75,322855.3333333333,329710.75
27,TX,Brazoria County,Data_condo,149606.0,141304.83333333334,141443.33333333334,149723.5,176566.41666666666,219949.25,237041.91666666666,256167.5,276799.9166666667,281803.8333333333,290661.5833333333
28,NY,New York County,Data_condo,737902.25,794297.5,821880.9166666666,901293.5,1017154.1666666666,1118828.4166666667,1153034.4166666667,1125812.0833333333,1116477.6666666667,1072279.0833333333,969671.3333333334
29,DC,District of Columbia,Data_condo,350708.3333333333,348257.5,352977.3333333333,390097.8333333333,415641.9166666667,430729.8333333333,433219.6666666667,447781.8333333333,463126.8333333333,475695.8333333333,495662.0
30,NY,New York County,Data_condo,725402.0,751317.0,756559.0,779945.3333333334,872187.8333333334,929577.4166666666,988250.4166666666,1016989.3333333334,1109219.5,1116931.0833333333,1044490.3333333334
31,NC,Mecklenburg County,Data_condo,130147.91666666667,116686.83333333333,111552.75,115784.83333333333,125270.66666666667,127872.58333333333,135255.58333333334,148249.91666666666,162219.25,173449.16666666666,187205.66666666666
32,TX,Williamson County,Data_condo,207211.16666666666,201433.83333333334,205277.33333333334,218516.66666666666,239748.91666666666,256631.08333333334,266836.75,277723.0,281657.3333333333,290186.0833333333,301017.1666666667
34,TX,Hidalgo County,Data_condo,61827.833333333336,58598.0,60055.75,59191.5,61140.25,58928.583333333336,59406.833333333336,61748.166666666664,62753.916666666664,64225.083333333336,68319.33333333333
