Declaration Number,Declaration Type,Declaration Date,State,County,Disaster Type,Disaster Title,Start Date,End Date,Individual Assistance Program,Individuals & Households Program,Public Assistance Program,Hazard Mitigation Program
DR-1941,Disaster,10/13/10,MN,Yellow Medicine County,Storm,Severe Storms and Flooding,9/22/10,10/14/10,No,No,Yes,Yes
DR-1982,Disaster,5/10/11,MN,Red Lake Indian Reservation,Flood,Severe Storms and Flooding,3/16/11,5/25/11,No,No,Yes,Yes
DR-1982,Disaster,5/10/11,MN,Becker County,Flood,Severe Storms and Flooding,3/16/11,5/25/11,No,No,Yes,Yes
DR-1982,Disaster,5/10/11,MN,Beltrami County,Flood,Severe Storms and Flooding,3/16/11,5/25/11,No,No,Yes,Yes
DR-1982,Disaster,5/10/11,MN,Big Stone County,Flood,Severe Storms and Flooding,3/16/11,5/25/11,No,No,Yes,Yes
DR-1982,Disaster,5/10/11,MN,Blue Earth County,Flood,Severe Storms and Flooding,3/16/11,5/25/11,No,No,Yes,Yes
DR-1982,Disaster,5/10/11,MN,Brown County,Flood,Severe Storms and Flooding,3/16/11,5/25/11,No,No,Yes,Yes
DR-1982,Disaster,5/10/11,MN,Carver County,Flood,Severe Storms and Flooding,3/16/11,5/25/11,No,No,Yes,Yes
DR-1982,Disaster,5/10/11,MN,Chippewa County,Flood,Severe Storms and Flooding,3/16/11,5/25/11,No,No,Yes,Yes
DR-1982,Disaster,5/10/11,MN,Clay County,Flood,Severe Storms and Flooding,3/16/11,5/25/11,No,No,Yes,Yes
DR-1982,Disaster,5/10/11,MN,Grant County,Flood,Severe Storms and Flooding,3/16/11,5/25/11,No,No,Yes,Yes
DR-1982,Disaster,5/10/11,MN,Kittson County,Flood,Severe Storms and Flooding,3/16/11,5/25/11,No,No,Yes,Yes
DR-1982,Disaster,5/10/11,MN,Lac qui Parle County,Flood,Severe Storms and Flooding,3/16/11,5/25/11,No,No,Yes,Yes
DR-1982,Disaster,5/10/11,MN,Le Sueur County,Flood,Severe Storms and Flooding,3/16/11,5/25/11,No,No,Yes,Yes
DR-1982,Disaster,5/10/11,MN,Lyon County,Flood,Severe Storms and Flooding,3/16/11,5/25/11,No,No,Yes,Yes
DR-1982,Disaster,5/10/11,MN,McLeod County,Flood,Severe Storms and Flooding,3/16/11,5/25/11,No,No,Yes,Yes
DR-1982,Disaster,5/10/11,MN,Marshall County,Flood,Severe Storms and Flooding,3/16/11,5/25/11,No,No,Yes,Yes
DR-1982,Disaster,5/10/11,MN,Nicollet County,Flood,Severe Storms and Flooding,3/16/11,5/25/11,No,No,Yes,Yes
DR-1982,Disaster,5/10/11,MN,Norman County,Flood,Severe Storms and Flooding,3/16/11,5/25/11,No,No,Yes,Yes
DR-1982,Disaster,5/10/11,MN,Otter Tail County,Flood,Severe Storms and Flooding,3/16/11,5/25/11,No,No,Yes,Yes
DR-1982,Disaster,5/10/11,MN,Polk County,Flood,Severe Storms and Flooding,3/16/11,5/25/11,No,No,Yes,Yes
DR-1982,Disaster,5/10/11,MN,Ramsey County,Flood,Severe Storms and Flooding,3/16/11,5/25/11,No,No,Yes,Yes
DR-1982,Disaster,5/10/11,MN,Red Lake County,Flood,Severe Storms and Flooding,3/16/11,5/25/11,No,No,Yes,Yes
DR-1982,Disaster,5/10/11,MN,Redwood County,Flood,Severe Storms and Flooding,3/16/11,5/25/11,No,No,Yes,Yes
